,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Name
10,35,0,2,809,1,16,3,Medical,1,14,1,1,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,Elizabeth Martinez
11,29,0,2,153,1,15,2,Life Sciences,1,15,4,0,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,Tommy Smith
12,31,0,2,670,1,26,1,Life Sciences,1,16,1,1,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,Colin Patel
13,34,0,2,1346,1,19,2,Medical,1,18,2,1,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,Jordan Morgan
14,28,1,2,103,1,24,3,Life Sciences,1,19,3,1,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,Tanya Lee
15,29,0,2,1389,1,21,4,Life Sciences,1,20,2,0,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,Christopher Dominguez
16,32,0,2,334,1,5,2,Life Sciences,1,21,1,1,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,Douglas Gonzalez
17,22,0,0,1123,1,16,2,Medical,1,22,4,1,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,Amanda Summers
18,53,0,2,1219,0,2,4,Life Sciences,1,23,1,0,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,William Dickson
19,38,0,2,371,1,2,3,Life Sciences,1,24,4,1,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,Anita Sanchez
20,24,0,0,673,1,11,2,Other,1,26,1,0,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,Gabrielle Jones
21,36,1,2,1218,0,9,4,Life Sciences,1,27,3,1,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,Ashley Mack
22,34,0,2,419,1,7,4,Life Sciences,1,28,1,0,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,Steven Gutierrez
23,21,0,2,391,1,15,2,Life Sciences,1,30,3,1,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,Joseph Bowen
24,34,1,2,699,1,6,1,Medical,1,31,2,1,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,Karen Cohen
25,53,0,2,1282,1,5,3,Other,1,32,3,0,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,Courtney Miller
26,32,1,1,1125,1,16,1,Life Sciences,1,33,2,0,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,Andrea Evans
27,42,0,2,691,0,8,4,Marketing,1,35,3,1,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,Jay Hall
28,44,0,2,477,1,7,4,Medical,1,36,1,0,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,Robert Thompson
29,46,0,2,705,0,2,4,Marketing,1,38,2,0,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,Dawn Miller
30,33,0,2,924,1,2,3,Medical,1,39,3,1,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,Christopher Chavez
31,44,0,2,1459,1,10,4,Other,1,40,4,1,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,Dennis Smith
32,30,0,2,125,1,9,2,Medical,1,41,4,1,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,Diane Abbott
33,39,1,2,895,0,5,3,Technical Degree,1,42,4,1,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,Joseph Fernandez
34,24,1,2,813,1,1,3,Medical,1,45,2,1,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Michael Mckinney
35,43,0,2,1273,1,2,2,Medical,1,46,4,0,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,Patrick Ramos
36,50,1,2,869,0,3,2,Marketing,1,47,1,1,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,Carol Taylor
37,35,0,2,890,0,2,3,Marketing,1,49,4,0,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,Kathryn Mcconnell
38,36,0,2,852,1,5,4,Life Sciences,1,51,2,0,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,Nicole Atkinson
39,33,0,1,1141,0,1,3,Life Sciences,1,52,3,0,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,John Lambert
40,35,0,2,464,1,4,2,Other,1,53,3,1,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,Miguel Levy
41,27,0,2,1240,1,2,4,Life Sciences,1,54,4,0,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,Justin Morgan
42,26,1,2,1357,1,25,3,Life Sciences,1,55,1,1,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,Miguel Murphy
43,27,0,1,994,0,8,3,Life Sciences,1,56,4,1,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,Kathy Delgado
44,30,0,1,721,1,1,2,Medical,1,57,3,0,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,Regina Kelly
45,41,1,2,1360,1,12,3,Technical Degree,1,58,2,0,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,Justin Monroe
46,34,0,0,1065,0,23,4,Marketing,1,60,2,1,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,John Arnold
47,37,0,2,408,1,19,2,Life Sciences,1,61,2,1,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,Jeremy Stout
48,46,0,1,1211,0,5,4,Marketing,1,62,1,1,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,Kelly Turner
49,35,0,2,1229,1,8,1,Life Sciences,1,63,4,1,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,Kimberly Nelson
50,48,1,2,626,1,1,2,Life Sciences,1,64,1,1,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,Aaron Walker
51,28,1,2,1434,1,5,4,Technical Degree,1,65,3,1,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,Margaret Moon
52,44,0,2,1488,0,1,5,Marketing,1,68,2,0,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,Laurie Ford
53,35,0,0,1097,1,11,2,Medical,1,70,3,1,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,Paul Dunlap
54,26,0,2,1443,0,23,3,Marketing,1,72,3,0,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,Miranda Taylor
55,33,0,1,515,1,1,2,Life Sciences,1,73,1,0,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,Jennifer Clark
56,35,0,1,853,0,18,5,Life Sciences,1,74,2,1,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,William Weber
57,35,0,2,1142,1,23,4,Medical,1,75,3,0,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,Andrew Kaiser
58,31,0,2,655,1,7,4,Life Sciences,1,76,4,1,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,James Dennis
59,37,0,2,1115,1,1,4,Life Sciences,1,77,1,1,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,Jason Valentine
60,32,0,2,427,1,1,3,Medical,1,78,1,1,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Lisa Brown
61,38,0,1,653,1,29,5,Life Sciences,1,79,4,0,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,Jacob Bernard
62,50,0,2,989,1,7,2,Medical,1,80,2,0,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,Stephanie Saunders
63,59,0,2,1435,0,25,3,Life Sciences,1,81,1,0,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,Angel Skinner
64,36,0,2,1223,1,8,3,Technical Degree,1,83,3,0,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,Lisa Daniel
65,55,0,2,836,1,8,3,Medical,1,84,4,0,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,Anthony Long
66,36,0,1,1195,1,11,3,Life Sciences,1,85,2,1,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,Angela Hudson
67,45,0,2,1339,1,7,3,Life Sciences,1,86,2,1,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,Brandon Wilson
68,35,0,1,664,1,1,3,Medical,1,88,2,1,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,Natasha Stephens
69,36,1,2,318,1,9,3,Medical,1,90,4,1,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,Monique Baker
70,59,0,1,1225,0,1,1,Life Sciences,1,91,1,0,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,Carolyn Valdez
71,29,0,2,1328,1,2,3,Life Sciences,1,94,3,1,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,Kayla Morales
72,31,0,2,1082,1,1,4,Medical,1,95,3,1,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,Steven Rogers
73,32,0,2,548,1,1,3,Life Sciences,1,96,2,1,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,Gary Tucker
74,36,0,2,132,1,6,3,Life Sciences,1,97,2,0,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,Kevin Dunn
75,31,0,2,746,1,8,4,Life Sciences,1,98,3,0,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,Alexis Hodge
76,35,0,2,776,0,1,4,Marketing,1,100,3,1,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,Joel Stevens
77,45,0,2,193,1,6,4,Other,1,101,4,1,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,Thomas Wilson
78,37,0,2,397,1,7,4,Medical,1,102,1,1,30,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,Edward Roberts
79,46,0,2,945,2,5,2,Medical,1,103,2,1,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,Grant Carter
80,30,0,2,852,1,1,1,Life Sciences,1,104,4,1,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,Jamie Bryant
81,35,0,2,1214,1,1,3,Medical,1,105,2,1,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,Victoria Morales
82,55,0,2,111,0,1,2,Life Sciences,1,106,1,1,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,Austin Reeves
83,38,0,0,573,1,6,3,Medical,1,107,2,0,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Dylan Christensen
84,34,0,2,1153,1,1,2,Medical,1,110,1,1,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,Jennifer Clark
85,56,0,2,1400,1,7,3,Life Sciences,1,112,4,1,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,Sarah Pope
86,23,0,2,541,0,2,1,Technical Degree,1,113,3,1,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,Michelle Miles
87,51,0,2,432,1,9,4,Life Sciences,1,116,4,1,96,3,1,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,Gloria Mcintosh
88,30,0,2,288,1,2,3,Life Sciences,1,117,3,1,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,Susan Schmidt
89,46,1,2,669,0,9,2,Medical,1,118,3,1,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,Steven Johnson
90,40,0,1,530,1,1,4,Life Sciences,1,119,3,1,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,Kenneth Shelton
91,51,0,2,632,0,21,4,Marketing,1,120,3,1,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,Aaron Price
92,30,0,2,1334,0,4,2,Medical,1,121,3,0,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,Glenda Baldwin
93,46,0,1,638,1,1,3,Medical,1,124,3,1,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,Susan Jones
94,32,0,2,1093,0,6,4,Medical,1,125,2,1,87,3,2,Sales Executive,3,Single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7,Nancy Woodard
95,54,0,2,1217,1,2,4,Technical Degree,1,126,1,0,60,3,3,Research Director,3,Married,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,Christine Thomas
96,24,0,2,1353,0,3,2,Other,1,128,1,0,33,3,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,Amy Hughes
97,28,0,0,120,0,4,3,Medical,1,129,2,1,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,Patricia Young
98,58,0,2,682,0,10,4,Medical,1,131,4,1,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,Anna Chavez MD
99,44,0,0,489,1,23,3,Medical,1,132,2,1,67,3,2,Laboratory Technician,2,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,Samuel Kidd
100,37,1,2,807,2,6,4,Human Resources,1,133,3,1,63,3,1,Human Resources,1,Divorced,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,Lauren Hill
101,32,0,2,827,1,1,1,Life Sciences,1,134,4,1,71,3,1,Research Scientist,1,Single,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0,Michael Chang
102,20,1,1,871,1,6,3,Life Sciences,1,137,4,0,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,Michael Newman
103,34,0,2,665,1,6,4,Other,1,138,1,0,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10,Tony Pena
104,37,0,0,1040,1,2,2,Life Sciences,1,139,3,1,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0,Alyssa Chavez
105,59,0,0,1420,2,2,4,Human Resources,1,140,3,0,32,2,5,Manager,4,Married,18844,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,Meagan Page
106,50,0,1,1115,1,1,3,Life Sciences,1,141,1,0,73,3,5,Research Director,2,Married,18172,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,Dr. Timothy Gordon
107,25,1,2,240,0,5,3,Marketing,1,142,3,1,46,2,2,Sales Executive,3,Single,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,Christopher Johnson
108,25,0,2,1280,1,7,1,Medical,1,143,4,1,64,2,1,Research Scientist,4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,Kimberly Cummings
109,22,0,2,534,1,15,3,Medical,1,144,2,0,59,3,1,Laboratory Technician,4,Single,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,Cody Pruitt
110,51,0,1,1456,1,1,4,Medical,1,145,1,0,30,2,3,Healthcare Representative,1,Single,7484,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8,Dawn Bishop
111,34,1,1,658,1,7,3,Life Sciences,1,147,1,1,66,1,2,Laboratory Technician,3,Single,6074,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6,Robert Davis
112,54,0,0,142,2,26,3,Human Resources,1,148,4,0,30,4,4,Manager,4,Single,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4,Adrian Nelson
113,24,0,2,1127,1,18,1,Life Sciences,1,150,2,1,52,3,1,Laboratory Technician,3,Married,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,Juan Hood
114,34,0,2,1031,1,6,4,Life Sciences,1,151,3,0,45,2,2,Research Scientist,2,Divorced,4505,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0,Belinda Lawson
115,37,0,2,1189,0,3,3,Life Sciences,1,152,3,1,87,3,3,Sales Executive,4,Single,7428,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3,Jonathan Torres
116,34,0,2,1354,1,5,3,Medical,1,153,3,0,45,2,3,Manager,1,Single,11631,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8,Sean Alvarez
117,36,0,1,1467,0,11,2,Technical Degree,1,154,2,0,92,3,3,Sales Executive,4,Married,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8,Regina Bender
118,36,0,2,922,1,3,2,Life Sciences,1,155,1,0,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0,Jennifer Mitchell
119,43,0,1,394,0,26,2,Life Sciences,1,158,3,1,92,3,4,Manager,4,Married,16959,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12,Natasha Kim
120,30,0,1,1312,1,23,3,Life Sciences,1,159,1,1,96,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9,Catherine Jones
121,33,0,0,750,0,22,2,Marketing,1,160,3,1,95,3,2,Sales Executive,2,Married,6146,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7,Joshua Moore
122,56,1,2,441,1,14,4,Life Sciences,1,161,2,0,72,3,1,Research Scientist,2,Married,4963,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3,Tiffany Norris
123,51,0,2,684,1,6,3,Life Sciences,1,162,1,1,51,3,5,Research Director,3,Single,19537,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15,Mary Chang
124,31,1,2,249,0,6,4,Life Sciences,1,163,2,1,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,Gregory Jensen
125,26,0,2,841,1,6,3,Other,1,164,3,0,46,2,1,Research Scientist,2,Married,2368,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3,Randy Wyatt
126,58,1,2,147,1,23,4,Medical,1,165,4,0,94,3,3,Healthcare Representative,4,Married,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,Kaitlyn Johnson
127,19,1,2,528,0,22,1,Marketing,1,167,4,1,50,3,1,Sales Representative,3,Single,1675,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0,Michael Dalton
128,22,0,2,594,1,2,1,Technical Degree,1,169,3,1,100,3,1,Laboratory Technician,4,Married,2523,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1,Robert Cowan
129,49,0,2,470,1,20,4,Medical,1,170,3,0,96,3,2,Manufacturing Director,1,Married,6567,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11,Keith Jones
130,43,0,1,957,1,28,3,Medical,1,171,2,0,72,4,1,Research Scientist,3,Single,4739,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2,Albert Perez
131,50,0,1,809,0,12,3,Marketing,1,174,3,0,77,3,3,Sales Executive,4,Single,9208,6645,4,Y,No,11,3,4,80,0,16,3,3,2,2,2,1,Cassandra Fletcher DDS
132,31,1,2,542,0,20,3,Life Sciences,1,175,2,0,71,1,2,Sales Executive,3,Married,4559,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2,Danielle Glover
133,41,0,2,802,0,9,1,Life Sciences,1,176,3,1,96,3,3,Sales Executive,3,Divorced,8189,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7,Sandra Meyer
134,26,0,2,1355,2,25,1,Life Sciences,1,177,3,0,61,3,1,Human Resources,3,Married,2942,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7,Matthew Pena
135,36,0,2,216,1,6,2,Medical,1,178,2,1,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1,Jesus Barnes
136,51,1,1,1150,1,8,4,Life Sciences,1,179,1,1,53,1,3,Manufacturing Director,4,Single,10650,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3,Emily Crawford
137,39,0,2,1329,0,4,4,Life Sciences,1,182,4,0,47,2,2,Sales Executive,3,Married,5902,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9,Jared Phillips
138,25,0,2,959,0,28,3,Life Sciences,1,183,1,1,41,2,2,Sales Executive,3,Married,8639,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2,Gregory May
139,30,0,2,1240,2,9,3,Human Resources,1,184,3,1,48,3,2,Human Resources,4,Married,6347,13982,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7,Adam Lynn
140,32,1,2,1033,1,9,3,Medical,1,190,1,0,41,3,1,Laboratory Technician,1,Single,4200,10224,7,Y,No,22,4,1,80,0,10,2,4,5,4,0,4,Penny Scott
